CO,Name,Value
39,New Jerusalem Elementary,4635499.39
39,Oak View Union Elementary,4649989.67
39,Ripon Unified,42537071.96
39,Stockton Unified,582593089.3
39,Tracy Joint Unified,218255332.9
39,Lammersville Joint Unified,81695010.37
39,Banta Unified,5701563.12
40,Atascadero Unified,61118674.72
40,Cayucos Elementary,4295100.7
40,Lucia Mar Unified,143493858.7
40,Pleasant Valley Joint Union Elementary,1114179.8
40,San Luis Coastal Unified,128692734.2
40,San Miguel Joint Union Elementary,9206314.2
40,Shandon Joint Unified,5203448.29
40,Templeton Unified,30498004.55
40,Paso Robles Joint Unified,100174774.2
40,Coast Unified,14174483.17
41,Bayshore Elementary,6421978.83
41,Belmont-Redwood Shores Elementary,55969466.13
41,Brisbane Elementary,11056186.86
41,Burlingame Elementary,49010937.17
41,Cabrillo Unified,47703956.91
41,Hillsborough City Elementary,36312519.98
41,Jefferson Elementary,79318648.05
41,Jefferson Union High,80067594.2
41,Pacifica Elementary,39170020.49
41,La Honda-Pescadero Unified,7481981.49
41,Las Lomitas Elementary,34346241.83
41,Menlo Park City Elementary,68076088.9
41,Millbrae Elementary,30004794.99
41,Portola Valley Elementary,16381464.96
41,Ravenswood City Elementary,46516928.42
41,Redwood City Elementary,124126587.9
41,San Bruno Park Elementary,34725423.59
41,San Carlos Elementary,44386096.3
41,San Mateo-Foster City Elementary,188092903.4
41,San Mateo Union High,210958573.5
41,Sequoia Union High,210487610.7
41,South San Francisco Unified,139587289.5
41,Woodside Elementary,13002442.93
42,Ballard Elementary,2611186.53
42,Blochman Union Elementary,2961728.77
42,Santa Maria-Bonita Elementary,255433361.7
42,Buellton Union Elementary,14172733.43
42,Carpinteria Unified,41445890.23
42,Cold Spring Elementary,4862287.89
42,College Elementary,5241821.63
42,Goleta Union Elementary,75357416
42,Guadalupe Union Elementary,23609491.18
42,Hope Elementary,14027392.59
42,Lompoc Unified,138053022.1
42,Los Olivos Elementary,2392890.65
42,Montecito Union Elementary,13568027.56
42,Orcutt Union Elementary,51852006.6
42,Santa Maria Joint Union High,149493257.3
42,Santa Ynez Valley Union High,15277308.05
42,Solvang Elementary,7406655.39
42,Vista Del Mar Union Elementary,1490675.97
42,Cuyama Joint Unified,3670780.02
42,Santa Barbara Unified,211202379.1
43,Alum Rock Union Elementary,152086580.5
43,Berryessa Union Elementary,95956381.18
43,Cambrian Elementary,46468743.92
43,Campbell Union Elementary,108137154.6
43,Campbell Union High,143173687.4
43,Cupertino Union Elementary,209244574.2
43,East Side Union High,335400686
43,Evergreen Elementary,128529913.2
43,Franklin-McKinley Elementary,119979085.4
43,Fremont Union High,206068602.2
43,Gilroy Unified,157485164.6
43,Lakeside Joint Elementary,2458494.7
43,Loma Prieta Joint Union Elementary,7557813.51
43,Los Altos Elementary,75825306.68
43,Los Gatos Union Elementary,52057304.22
43,Los Gatos-Saratoga Union High,68871902.25
43,Luther Burbank Elementary,7759066.03
43,Moreland Elementary,65017319.18
43,Morgan Hill Unified,122046468.3
43,Mountain View Whisman Elementary,96858204.32
43,Mountain View-Los Altos Union High,126593240.5
43,Mount Pleasant Elementary,33852912.26
43,Oak Grove Elementary,134888691.8
43,Orchard Elementary,14491099.09
43,Palo Alto Unified,281559938.7
43,San Jose Unified,436051169.2
43,Santa Clara Unified,364362844.1
43,Saratoga Union Elementary,36475277.71
43,Sunnyvale Elementary,125451769.1
43,Union Elementary,80331190.43
43,Milpitas Unified,149728337.1
44,Santa Cruz City Elementary/High,108248604.3
44,Bonny Doon Union Elementary,2455492.22
44,Happy Valley Elementary,1962046.1
44,Live Oak Elementary,27084873.43
44,Mountain Elementary,2452100.77
44,Pacific Elementary,1844255.11
44,Pajaro Valley Unified,316126872
44,San Lorenzo Valley Unified,31345719.57
44,Soquel Union Elementary,24348883.27
44,Scotts Valley Unified,29940957.99
45,Anderson Union High,22180733.69
45,Bella Vista Elementary,5308338.01
45,Black Butte Union Elementary,4172210.6
45,Cascade Union Elementary,20175759.56
45,Castle Rock Union Elementary,1120502.02
45,Columbia Elementary,12070372.96
45,Cottonwood Union Elementary,14102326.52
45,Enterprise Elementary,51095906.28
45,Fall River Joint Unified,19383932.68
45,French Gulch-Whiskeytown Elementary,426800.76
45,Grant Elementary,8270915.81
45,Happy Valley Union Elementary,6793368.77
45,"Igo, Ono, Platina Union Elementary                                         ",901484.9
45,Junction Elementary,5491543.72
45,Millville Elementary,3746093.03
45,North Cow Creek Elementary,2976656.73
45,Oak Run Elementary,970098.78
45,Pacheco Union Elementary,9228185.35
45,Redding Elementary,45647359.31
45,Shasta Union Elementary,1711113.29
45,Shasta Union High,66344502.23
45,Whitmore Union Elementary,871437.25
45,Mountain Union Elementary,1514693.4
45,Gateway Unified,38785824.53
46,Sierra-Plumas Joint Unified,7427983.47
47,Big Springs Union Elementary,2463757.21
47,Bogus Elementary,304163.89
47,Butteville Union Elementary,2204446.21
47,Delphic Elementary,954844.22
47,Dunsmuir Elementary,2033344.61
47,Dunsmuir Joint Union High,2335161.78
47,Forks of Salmon Elementary,177377.18
47,Gazelle Union Elementary,655460.34
47,Grenada Elementary,2594063.25
47,Happy Camp Union Elementary,2458889.56
47,Hornbrook Elementary,1111707.22
47,Junction Elementary,410527.92
47,Klamath River Union Elementary,443872.7
47,Little Shasta Elementary,397769.76
47,McCloud Union Elementary,862166.03
47,Montague Elementary,2478298.99
47,Mt. Shasta Union Elementary,6982709.48
47,Seiad Elementary,472706.71
47,Siskiyou Union High,9047705.86
47,Weed Union Elementary,6008392.43
47,Willow Creek Elementary,666451.34
47,Yreka Union Elementary,15141756.15
47,Yreka Union High,12380199.89
47,Butte Valley Unified,5339292.85
47,Scott Valley Unified,11204367.04
48,Benicia Unified,59373108.38
48,Dixon Unified,41162743.17
48,Fairfield-Suisun Unified,284740007.5
48,Travis Unified,72905693.82
